T12,Intentional homicides and other crimes,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
30,Eastern Asia,2010,"Intentional homicide rates per 100,000",1.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
30,Eastern Asia,2015,"Intentional homicide rates per 100,000",0.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
30,Eastern Asia,2022,"Intentional homicide rates per 100,000",0.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
35,South-eastern Asia,2005,"Intentional homicide rates per 100,000",2.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
35,South-eastern Asia,2005,"Percentage of male and female intentional homicide victims, Male",4.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
35,South-eastern Asia,2005,"Percentage of male and female intentional homicide victims, Female",1.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
35,South-eastern Asia,2010,"Intentional homicide rates per 100,000",2.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
35,South-eastern Asia,2010,"Percentage of male and female intentional homicide victims, Male",4.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
35,South-eastern Asia,2010,"Percentage of male and female intentional homicide victims, Female",1.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
35,South-eastern Asia,2015,"Intentional homicide rates per 100,000",2.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
35,South-eastern Asia,2015,"Percentage of male and female intentional homicide victims, Male",4.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
35,South-eastern Asia,2015,"Percentage of male and female intentional homicide victims, Female",0.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
35,South-eastern Asia,2021,"Intentional homicide rates per 100,000",3.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
35,South-eastern Asia,2021,"Percentage of male and female intentional homicide victims, Male",6.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
35,South-eastern Asia,2021,"Percentage of male and female intentional homicide victims, Female",1.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
35,South-eastern Asia,2022,"Intentional homicide rates per 100,000",1.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
34,Southern Asia,2005,"Intentional homicide rates per 100,000",3.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
34,Southern Asia,2005,"Percentage of male and female intentional homicide victims, Male",5.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
34,Southern Asia,2005,"Percentage of male and female intentional homicide victims, Female",2.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
34,Southern Asia,2010,"Intentional homicide rates per 100,000",3.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
34,Southern Asia,2010,"Percentage of male and female intentional homicide victims, Male",5.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
34,Southern Asia,2010,"Percentage of male and female intentional homicide victims, Female",2.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
34,Southern Asia,2015,"Intentional homicide rates per 100,000",3.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
34,Southern Asia,2015,"Percentage of male and female intentional homicide victims, Male",4.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
